Date,Open,High,Low,Last,Volume
02/12/2019,388,388.75,385.75,387.5,6802
29/11/2019,386,389.25,384.75,387.75,4788
27/11/2019,388.75,390,383.75,384.5,5812
26/11/2019,390.75,391,388,390,3616
25/11/2019,388.5,392.25,388.25,390.75,4123
22/11/2019,389.75,390.5,388.5,388.5,3580
21/11/2019,390,391,389.5,390,3193
20/11/2019,391.5,392,389.5,389.75,4605
19/11/2019,389.25,392.25,388.5,391.75,4297
18/11/2019,391.25,391.5,388.5,389,6209
15/11/2019,394.25,394.25,390.5,390.75,2527
14/11/2019,393,395,392.75,393.75,2688
13/11/2019,394,395,392.5,393,2784
12/11/2019,393,395.25,392.75,395,3036
11/11/2019,395.5,395.75,392,391,3778
08/11/2019,395,399.75,392.25,395,7997
07/11/2019,396.75,397,392.75,395,3560
06/11/2019,399,399.5,396,396.25,2920
05/11/2019,400.25,401,398.25,398.75,2302
04/11/2019,400.75,401.25,399.5,400,1828
01/11/2019,402,404,400.75,401.25,3317
31/10/2019,402.5,402.75,399.75,402,2543
30/10/2019,402,403.25,401.5,402.5,2356
29/10/2019,400.75,403.25,400.5,402,2695
28/10/2019,402.5,403.75,400.5,401,1387
25/10/2019,404,404.75,402.5,403.5,1624
24/10/2019,405,406,403.25,403.75,1587
23/10/2019,405,406,403.75,405.25,1837
22/10/2019,404.5,406.5,403,405.25,3958
21/10/2019,405.75,408,403.75,404.25,2116
18/10/2019,406.25,407,405,406.25,1944
17/10/2019,405.25,408.25,405,406.5,1524
16/10/2019,405,406.75,403.25,405.5,2299
15/10/2019,406.5,407,404.5,405.5,2572
14/10/2019,410,410,406,406,1415
11/10/2019,400.5,409,400.25,408.75,6383
10/10/2019,403.75,405.75,399.25,400.5,7522
09/10/2019,405.25,406.25,404.25,404.75,3619
08/10/2019,402.25,406.25,400.75,405.25,4249
07/10/2019,401.75,402.25,400.5,402,1044
04/10/2019,,402.25,399.5,401,2286
03/10/2019,400.75,402.75,400.75,401.75,2618
02/10/2019,404,405.25,400.25,401.25,3109
01/10/2019,403.5,406,402.25,404,4760
30/09/2019,399,404.75,398,403.5,11469
27/09/2019,398.25,400,398,399,1182
26/09/2019,398.75,400.75,397,399.25,2353
25/09/2019,399.5,400.5,397.5,392,2047
24/09/2019,398.5,399.75,396.75,399.75,3225
23/09/2019,397.75,400,397.75,398.25,1529
20/09/2019,399.5,400.25,396.75,397,2814
19/09/2019,399.5,401.25,398.25,399.75,4189
18/09/2019,398.75,400.5,397.5,400.25,1866
17/09/2019,404.5,404.75,397.75,398.75,2125
16/09/2019,403,405.25,400,405.25,4492
13/09/2019,395.75,399.5,394.75,397.25,18465
12/09/2019,389.75,396,383.75,395.75,36234
11/09/2019,391.75,392.25,386,388.5,21717
10/09/2019,386,391.5,385.75,391,15975
09/09/2019,384.25,386.75,382.25,383.75,14787
06/09/2019,388.5,389,383,384.75,9811
05/09/2019,387.25,390.5,387.25,388.25,13356
04/09/2019,389.75,391,386,387,17889
03/09/2019,396.75,397,389,389.5,14204
